data,chuva total/dia
17/10/01,0.0
17/10/02,35.2
17/10/03,12.2
17/10/04,0.0
17/10/05,0.0
17/10/06,0.0
17/10/07,0.0
17/10/08,0.0
17/10/09,0.0
17/10/10,0.0
17/10/11,0.0
17/10/12,0.0
17/10/13,0.0
17/10/14,0.0
17/10/15,0.0
17/10/16,2.0
17/10/17,0.0
17/10/18,0.0
17/10/19,0.0
17/10/20,0.0
17/10/21,0.0
17/10/22,0.0
17/10/23,1.2
17/10/24,0.8
17/10/25,6.8
17/10/26,0.0
17/10/27,1.0
17/10/28,22.0
17/10/29,13.8
17/10/30,0.4
17/10/31,0.0
17/11/01,8.4
17/11/02,0.6
17/11/03,0.0
17/11/04,37.6
17/11/05,39.8
17/11/06,1.6
17/11/07,1.0
17/11/08,0.2
17/11/09,0.0
17/11/10,31.0
17/11/11,22.4
17/11/12,0.0
17/11/13,0.0
17/11/14,0.0
17/11/15,0.0
17/11/16,0.0
17/11/17,4.2
17/11/18,6.6
17/11/19,9.2
17/11/20,0.0
17/11/21,24.6
17/11/22,59.6
17/11/23,0.2
17/11/24,11.0
17/11/25,0.0
17/11/26,20.0
17/11/27,0.4
17/11/28,3.6
17/11/29,5.6
17/11/30,3.0
17/12/01,19.0
17/12/02,10.2
17/12/03,2.4
17/12/04,4.4
17/12/05,43.4
17/12/06,50.0
17/12/07,17.8
17/12/08,6.4
17/12/09,0.0
17/12/10,0.0
17/12/11,0.0
17/12/12,0.0
17/12/13,0.6
17/12/14,0.0
17/12/15,7.2
17/12/16,8.4
17/12/17,0.0
17/12/18,2.2
