codigo_estacao,data,hora,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_direcao,vento_vel,vento_rajada,radiacao,precipitacao
A507,01/10/17,23,26.3,27.4,26.3,43,43,37,12.8,12.8,11.3,909.7,909.7,909.4,1.0,76,2.4,-3.54,0.0
A507,01/10/17,0,18.6,18.9,18.5,77,80,75,14.6,14.9,14.5,914.2,914.2,913.2,2.4,335,8.4,-3.53,0.0
A507,01/10/17,15,28.1,28.2,25.9,35,42,34,11.3,12.6,10.6,913.1,913.7,913.1,2.3,327,6.4,3353.,0.0
A507,01/10/17,1,18.0,18.6,18.0,79,79,77,14.3,14.5,14.3,914.5,914.5,914.2,1.8,305,6.3,-3.54,0.0
A507,01/10/17,22,27.4,29.2,27.4,37,37,30,11.3,11.5,9.9,909.4,909.5,909.3,0.9,37,4.0,3455,0.0
A507,01/10/17,2,17.4,18.0,17.4,82,82,79,14.3,14.4,14.3,914.4,914.6,914.3,0.5,313,4.0,-3.54,0.0
A507,01/10/17,16,28.7,29.7,27.4,33,38,32,11.0,12.2,10.1,912.0,913.1,912.0,3.2,300,7.1,3450.,0.0
A507,01/10/17,3,17.0,17.5,17.0,84,84,82,14.3,14.5,14.3,913.8,914.4,913.8,0.7,49,2.4,-3.54,0.0
A507,01/10/17,14,25.9,26.6,23.7,42,54,40,12.1,13.8,11.4,913.7,914.1,913.7,2.5,337,7.7,3135.,0.0
A507,01/10/17,4,16.5,17.0,16.4,87,87,84,14.3,14.4,14.2,913.2,913.8,913.2,1.2,77,2.2,-3.54,0.0
A507,01/10/17,5,16.1,16.5,16.1,87,87,87,14.0,14.3,14.0,912.3,913.2,912.3,1.1,67,2.8,-3.54,0.0
A507,01/10/17,17,30.0,30.3,28.5,32,34,30,11.6,11.6,10.6,910.7,912.0,910.7,2.9,283,10.0,3403.,0.0
A507,01/10/17,6,16.0,16.1,15.9,89,89,87,14.1,14.1,14.0,911.8,912.3,911.8,1.3,71,2.8,-3.54,0.0
A507,01/10/17,13,23.7,23.8,20.9,54,67,54,13.8,15.0,13.8,914.1,914.1,914.0,2.1,341,6.1,2641.,0.0
A507,01/10/17,20,30.5,31.0,30.3,28,28,26,9.9,10.0,9.0,909.2,909.4,909.2,2.3,273,7.0,1345.,0.0
A507,01/10/17,7,15.6,15.9,15.6,90,90,89,14.0,14.1,13.9,911.7,911.9,911.6,0.5,87,3.0,-3.54,0.0
A507,01/10/17,12,21.0,21.0,18.9,66,78,66,14.4,15.2,14.2,914.0,914.0,913.6,2.8,352,6.1,1885.,0.0
A507,01/10/17,21,29.2,30.6,29.2,30,31,27,10.1,10.2,9.4,909.5,909.5,909.1,1.3,302,5.7,430.7,0.0
A507,01/10/17,8,15.9,15.9,15.5,90,91,90,14.2,14.2,13.9,912.0,912.0,911.7,1.1,52,2.8,-3.54,0.0
A507,01/10/17,9,15.7,15.9,15.7,89,90,89,14.0,14.2,14.0,912.6,912.6,912.0,1.1,41,3.8,-3.03,0.0
A507,01/10/17,18,30.6,30.7,29.2,30,32,30,11.2,11.7,10.6,909.9,910.7,909.9,1.7,283,7.5,2581.,0.0
A507,01/10/17,10,17.2,17.2,15.7,84,90,84,14.5,14.6,13.9,912.8,912.8,912.6,1.6,62,3.5,220.6,0.0
A507,01/10/17,19,30.7,31.5,30.4,27,30,26,9.3,11.4,9.2,909.4,909.9,909.3,2.6,281,8.1,2191.,0.0
A507,01/10/17,11,18.9,18.9,17.2,78,84,77,15.0,15.1,14.5,913.6,913.6,912.8,2.5,13,5.4,983.5,0.0
A507,02/10/17,3,23.8,24.0,23.6,58,59,56,15.1,15.3,14.6,910.9,911.2,910.9,3.0,62,7.0,-3.54,0.0
A507,02/10/17,5,23.5,23.5,22.5,57,62,57,14.5,14.9,14.4,910.8,911.0,910.3,2.2,10,5.9,-2.89,0.0
A507,02/10/17,6,22.0,23.5,22.0,68,68,57,15.7,15.7,14.5,910.3,910.8,910.3,1.5,327,5.9,-3.53,0.0
A507,02/10/17,14,27.0,27.3,25.4,54,60,54,17.0,17.5,16.9,913.5,914.0,913.5,3.4,336,10.2,1829.,0.0
A507,02/10/17,7,20.5,22.0,20.0,83,86,68,17.5,17.7,15.7,909.9,910.6,909.8,0.8,45,10.2,-2.96,1.2
A507,02/10/17,8,20.8,21.7,20.5,77,83,71,16.6,17.5,16.1,909.9,910.0,909.7,2.4,54,6.1,-1.20,0.0
A507,02/10/17,9,20.6,21.0,20.6,77,77,75,16.5,16.6,16.4,910.5,910.5,909.9,2.9,61,5.9,-2.83,0.0
A507,02/10/17,13,25.5,25.7,24.1,59,66,58,16.9,17.4,16.6,914.0,914.2,913.8,2.6,336,7.0,1388.,0.0
A507,02/10/17,12,24.2,24.2,23.4,67,68,65,17.6,17.7,16.5,913.9,913.9,912.6,2.3,10,5.9,1257.,0.0
A507,02/10/17,21,16.3,17.2,16.3,92,93,91,15.0,15.8,15.0,915.8,915.8,914.8,4.0,218,14.5,17.12,1.8
A507,02/10/17,23,16.3,16.5,16.2,92,93,91,15.0,15.1,14.8,915.2,915.9,915.2,1.5,173,5.1,-2.68,0.6
A507,02/10/17,11,23.5,23.5,21.6,67,74,66,17.0,17.1,16.6,912.6,912.6,911.2,1.8,6,4.9,858.7,0.0
A507,02/10/17,22,16.5,16.5,16.0,91,92,90,15.0,15.1,14.6,915.9,916.0,915.7,2.2,208,9.2,-1.20,0.2
A507,02/10/17,20,17.2,18.5,17.2,92,94,92,15.9,17.5,15.9,914.8,914.9,914.1,4.7,225,14.5,16.52,6.8
A507,02/10/17,19,18.5,19.0,18.5,94,94,93,17.5,18.0,17.5,914.0,914.1,912.9,2.9,191,7.9,24.52,7.0
A507,02/10/17,18,18.9,19.3,18.6,93,93,90,17.7,18.1,17.4,913.2,914.1,912.0,1.5,192,10.8,45.38,10.2
A507,02/10/17,0,25.5,26.3,25.5,46,46,43,13.0,13.0,12.7,910.5,910.6,909.6,1.3,70,2.5,-3.54,0.0
A507,02/10/17,17,19.1,26.7,19.0,90,90,58,17.4,18.2,16.3,914.1,914.2,910.8,4.0,287,10.8,557.3,5.8
A507,02/10/17,1,25.4,25.6,25.2,45,47,45,12.7,13.0,12.7,911.2,911.3,910.4,2.0,51,5.5,-3.52,0.0
A507,02/10/17,2,23.9,25.4,23.9,56,56,45,14.6,14.6,12.7,911.1,911.3,911.0,2.0,61,5.6,-3.54,0.0
A507,02/10/17,10,21.6,21.6,20.6,74,77,74,16.7,16.7,16.4,911.2,911.2,910.5,2.3,58,6.0,186.0,0.0
A507,02/10/17,16,26.7,26.8,25.4,58,71,58,17.8,19.7,17.5,911.2,913.0,911.2,3.0,1,8.5,1634.,0.0
A507,02/10/17,15,25.4,27.6,23.8,71,73,53,19.8,19.8,16.6,913.0,913.6,913.0,2.2,326,9.4,1458.,1.6
A507,02/10/17,4,22.6,23.9,22.6,61,61,56,14.8,15.1,14.3,910.4,911.1,910.4,2.8,65,8.0,-3.54,0.0
A507,03/10/17,2,16.5,17.4,16.5,87,89,85,14.3,14.9,14.3,917.7,917.9,916.5,1.8,286,7.3,-2.00,1.4
A507,03/10/17,13,19.9,20.0,18.3,66,79,66,13.4,14.9,13.0,919.8,920.1,919.4,0.7,17,2.6,1474.,0.0
A507,03/10/17,14,20.4,20.5,19.2,70,71,66,14.7,14.7,13.4,920.0,920.0,919.8,1.1,354,3.1,1383.,0.0
A507,03/10/17,15,21.4,21.7,20.0,63,73,63,14.1,15.5,13.9,919.4,920.0,919.4,1.3,359,3.5,2120.,0.0
A507,03/10/17,22,20.6,22.4,20.6,68,68,56,14.4,14.5,13.2,919.0,919.0,918.5,2.5,179,6.5,1475,0.0
A507,03/10/17,21,22.4,23.9,22.4,56,56,52,13.1,13.9,12.8,918.5,918.5,918.1,2.0,193,4.9,239.3,0.0
A507,03/10/17,20,23.7,24.2,23.4,53,55,51,13.6,13.9,12.9,918.2,918.3,918.0,2.1,208,6.8,860.7,0.0
A507,03/10/17,19,24.0,25.4,23.9,51,53,49,13.3,14.4,13.2,918.0,918.0,917.8,2.8,205,6.8,1778.,0.0
A507,03/10/17,18,24.6,25.9,23.5,53,55,47,14.3,14.4,13.3,917.8,918.2,917.8,2.3,224,6.6,2497.,0.0
A507,03/10/17,23,19.7,20.6,19.7,72,72,68,14.6,14.6,14.3,919.2,919.2,918.9,2.0,191,6.5,-3.52,0.0
A507,03/10/17,0,16.9,16.9,16.2,86,92,86,14.5,14.9,14.5,916.3,916.3,915.2,0.8,114,3.5,-0.45,0.0
A507,03/10/17,1,16.9,17.2,16.9,86,86,84,14.6,14.8,14.3,916.5,916.9,916.2,0.6,153,3.4,-0.25,0.0
A507,03/10/17,12,18.4,18.5,16.4,78,89,78,14.6,15.2,14.1,919.6,919.7,918.8,0.6,353,3.6,1131.,0.0
A507,03/10/17,3,15.5,16.5,15.4,93,93,86,14.4,14.4,13.6,918.7,919.0,917.5,2.8,353,8.1,-2.80,6.6
A507,03/10/17,4,15.6,15.7,15.4,93,94,93,14.5,14.6,14.4,917.5,918.9,917.5,1.0,226,7.4,-1.42,2.0
A507,03/10/17,5,15.7,16.0,15.6,92,93,91,14.4,14.8,14.3,917.4,917.8,917.4,1.4,271,3.3,-2.51,0.2
A507,03/10/17,6,15.5,15.7,15.4,89,92,89,13.7,14.5,13.7,916.8,917.4,916.7,1.5,249,3.8,-2.76,0.0
A507,03/10/17,7,15.5,15.6,15.4,89,89,87,13.7,13.7,13.3,916.8,917.1,916.5,0.3,332,3.8,-2.71,0.4
A507,03/10/17,8,15.2,15.5,15.2,90,90,89,13.6,13.8,13.5,917.1,917.2,916.8,1.3,306,3.1,-2.73,0.4
A507,03/10/17,9,15.5,15.5,15.0,91,92,90,14.1,14.1,13.6,915.4,917.2,915.4,3.9,76,6.7,-2.72,1.0
A507,03/10/17,10,15.6,16.4,15.5,91,91,88,14.2,14.5,14.0,918.1,918.2,915.5,2.7,230,6.7,37.90,0.2
A507,03/10/17,17,23.6,24.2,22.7,54,58,53,13.8,15.0,13.3,918.2,919.0,918.2,2.1,228,5.8,2477.,0.0
A507,03/10/17,11,16.5,16.5,15.6,89,91,88,14.6,14.6,14.2,918.9,919.0,917.8,1.1,207,6.5,534.5,0.0
A507,03/10/17,16,23.0,23.2,21.4,56,63,56,13.9,14.9,13.6,919.0,919.4,919.0,2.5,240,4.6,2683.,0.0
A507,04/10/17,12,21.7,22.2,19.5,60,74,59,13.6,14.8,13.5,919.8,919.8,919.2,4.1,99,8.6,1538.,0.0
A507,04/10/17,20,27.0,27.3,26.8,43,44,41,13.2,13.5,12.6,916.5,916.7,916.4,1.1,35,4.7,699.1,0.0
A507,04/10/17,13,22.3,22.6,21.7,57,61,56,13.3,14.0,13.2,920.3,920.3,919.8,2.8,93,8.4,1274.,0.0
A507,04/10/17,2,18.5,18.6,18.3,79,80,78,14.7,14.9,14.7,920.3,920.4,920.2,1.2,126,3.5,-3.54,0.0
A507,04/10/17,5,17.2,17.8,17.2,84,84,80,14.5,14.6,14.3,917.7,918.7,917.6,1.4,144,3.9,-3.54,0.0
A507,04/10/17,14,23.9,24.0,22.3,51,57,51,13.1,13.7,12.9,919.9,920.4,919.9,2.9,83,6.0,1374.,0.0
A507,04/10/17,15,26.2,26.2,23.9,42,51,42,12.4,13.5,12.3,918.9,919.9,918.9,2.4,50,6.5,1607.,0.0
A507,04/10/17,21,26.1,27.0,26.1,48,48,43,14.2,14.3,13.1,916.7,916.8,916.5,0.7,17,3.7,249.6,0.0
A507,04/10/17,3,18.2,18.5,18.2,80,80,79,14.6,14.8,14.6,919.5,920.3,919.5,0.8,132,4.0,-3.54,0.0
A507,04/10/17,16,27.1,28.3,26.1,39,42,36,11.9,12.7,11.4,917.8,918.9,917.8,2.6,34,6.8,2657.,0.0
A507,04/10/17,6,17.3,17.5,17.2,83,84,82,14.4,14.5,14.3,917.3,917.7,917.3,1.5,129,5.1,-3.54,0.0
A507,04/10/17,17,27.2,28.1,26.7,40,40,36,12.5,12.7,11.6,917.2,917.8,917.2,2.3,47,7.1,2224.,0.0
